FFDate,Mkt-RF,SMB,HML,RF
198305,0.63,6.18,-1.41,0.69
198306,3.11,0.96,-3.83,0.67
198307,-3.90,1.50,5.57,0.74
198308,-0.41,-4.30,5.55,0.76
198309,0.85,0.59,1.06,0.76
198310,-3.56,-3.60,4.97,0.76
198311,2.26,2.02,-0.72,0.70
198312,-1.78,-0.27,1.74,0.73
198401,-2.06,-0.40,7.62,0.76
198402,-4.62,-1.67,3.36,0.71
198403,0.61,0.06,0.55,0.73
198404,-0.56,-1.14,1.26,0.81
198405,-6.01,0.06,0.22,0.78
198406,1.59,-0.24,-2.66,0.75
198407,-2.88,-2.28,0.33,0.82
198408,10.44,-0.27,-1.84,0.83
198409,-0.82,0.22,5.27,0.86
198410,-1.01,-1.18,0.53,1.00
198411,-1.80,-0.67,3.97,0.73
198412,1.73,-0.56,-0.10,0.64
198501,7.92,3.25,-5.37,0.65
198502,1.11,0.84,-0.07,0.58
198503,-0.79,-1.12,4.02,0.62
198504,-0.94,0.15,3.69,0.72
198505,4.92,-2.26,-0.86,0.66
198506,1.16,0.51,0.47,0.55
198507,-0.65,2.84,-1.61,0.62
198508,-1.03,-0.35,2.19,0.55
198509,-4.58,-1.61,1.23,0.60
198510,3.79,-1.58,0.70,0.65
198511,6.31,0.19,-2.92,0.61
198512,3.66,-0.41,-1.48,0.65
198601,0.42,1.18,0.48,0.56
198602,6.72,-0.51,-0.64,0.53
198603,4.79,-0.56,-0.55,0.60
198604,-1.31,2.75,-2.97,0.52
198605,4.59,-1.25,-0.14,0.49
198606,0.90,-0.92,1.30,0.52
198607,-6.49,-3.43,4.70,0.52
198608,6.16,-4.20,3.54,0.46
198609,-8.35,2.29,3.20,0.45
198610,4.47,-2.59,-1.42,0.46
198611,1.12,-1.96,-0.10,0.39
198612,-3.13,0.09,0.31,0.49
198701,12.43,-1.75,-3.10,0.42
198702,4.36,3.48,-5.90,0.43
198703,1.89,0.36,1.61,0.47
198704,-2.14,-1.67,-0.22,0.44
198705,0.13,-0.54,0.23,0.38
198706,3.89,-2.11,1.15,0.48
198707,3.96,-0.49,0.91,0.46
198708,3.24,-0.78,-0.99,0.47
198709,-2.53,0.57,0.29,0.45
198710,-23.13,-8.42,4.09,0.60
198711,-7.58,2.63,3.25,0.35
198712,6.64,0.17,-4.44,0.39
198801,4.20,-0.63,5.18,0.29
198802,4.71,3.38,-1.55,0.46
198803,-2.10,6.18,0.80,0.44
198804,0.64,0.92,1.64,0.46
198805,-0.47,-2.68,2.26,0.51
198806,4.66,2.03,-1.26,0.49
198807,-1.24,-0.17,2.29,0.51
198808,-3.39,0.10,2.04,0.59
198809,3.10,-1.28,-0.70,0.62
198810,1.15,-2.91,1.62,0.61
198811,-2.21,-1.76,1.23,0.57
198812,1.48,1.95,-1.51,0.63
198901,6.06,-2.12,0.57,0.55
198902,-2.25,2.78,0.89,0.61
198903,1.48,0.74,0.51,0.67
198904,4.15,-0.56,-1.47,0.67
198905,3.14,-0.04,-0.85,0.79
198906,-1.20,-1.00,2.17,0.71
198907,7.01,-4.05,-2.72,0.70
198908,1.47,0.59,0.64,0.74
198909,-0.80,0.33,-1.29,0.65
198910,-3.61,-3.23,-1.14,0.68
198911,1.09,-1.24,-1.15,0.69
198912,1.22,-2.38,0.19,0.61
199001,-7.58,-1.26,0.82,0.57
199002,0.92,1.04,0.64,0.57
199003,1.77,1.49,-2.90,0.64
199004,-3.52,-0.47,-2.47,0.69
199005,8.21,-2.60,-3.75,0.68
199006,-1.05,1.46,-2.03,0.63
199007,-1.62,-3.07,0.11,0.68
199008,-9.85,-3.51,1.54,0.66
199009,-5.98,-3.65,0.66,0.60
199010,-1.93,-5.56,0.21,0.68
199011,6.00,0.32,-3.01,0.57
199012,2.35,0.79,-1.56,0.60
199101,4.39,3.84,-1.74,0.52
199102,7.10,3.91,-0.58,0.48
199103,2.45,3.92,-1.21,0.44
199104,-0.20,0.52,1.45,0.53
199105,3.60,-0.36,-0.53,0.47
199106,-4.82,0.12,1.14,0.42
199107,4.19,-0.96,-1.30,0.49
199108,2.22,1.61,-0.79,0.46
199109,-1.56,1.67,-1.09,0.46
199110,1.36,0.87,-0.41,0.42
199111,-4.12,-0.55,-1.84,0.39
199112,10.30,-2.26,-4.01,0.38
199201,-0.46,8.43,4.53,0.34
199202,1.06,0.88,6.37,0.28
199203,-2.71,-1.04,3.66,0.34
199204,1.02,-6.11,4.33,0.32
199205,0.36,0.40,1.23,0.28
199206,-2.25,-3.09,3.30,0.32
199207,3.68,-0.41,-0.53,0.31
199208,-2.34,-0.09,-1.07,0.26
199209,0.98,0.55,-0.22,0.26
199210,0.87,2.10,-2.08,0.23
199211,3.79,3.59,-1.56,0.23
199212,1.50,1.65,2.48,0.28
199301,1.03,2.02,5.83,0.23
199302,0.32,-3.37,6.52,0.22
199303,2.26,0.31,1.28,0.25
199304,-2.78,-0.66,2.61,0.24
199305,2.74,2.00,-3.39,0.22
199306,0.29,-0.30,2.60,0.25
199307,-0.32,0.97,3.25,0.24
199308,3.70,0.29,-0.46,0.25
199309,-0.20,3.15,-0.43,0.26
199310,1.59,1.45,-1.59,0.22
199311,-2.01,-1.44,-0.29,0.25
199312,1.72,1.23,0.58,0.23
199401,2.90,0.13,2.11,0.25
199402,-2.63,2.71,-1.45,0.21
199403,-4.85,-0.94,1.36,0.27
199404,0.68,-0.87,1.70,0.27
199405,0.62,-2.02,0.20,0.32
199406,-3.10,-0.48,1.67,0.31
199407,2.78,-1.77,0.97,0.28
199408,3.89,1.44,-3.49,0.37
199409,-2.21,2.68,-1.80,0.37
199410,1.07,-2.16,-2.36,0.38
199411,-4.09,-0.17,-0.05,0.37
199412,0.82,0.05,0.26,0.44
199501,1.62,-2.94,1.67,0.42
199502,3.56,-0.34,0.39,0.40
199503,2.24,-0.35,-2.04,0.46
199504,2.06,-0.41,1.73,0.44
199505,2.86,-2.22,1.92,0.54
199506,2.65,3.09,-2.95,0.47
199507,3.63,2.24,-2.23,0.45
199508,0.46,1.82,1.92,0.47
199509,3.21,-2.04,-0.98,0.43
199510,-1.60,-3.94,-0.12,0.47
199511,3.85,-0.84,0.31,0.42
199512,1.03,0.39,1.32,0.49
199601,2.38,-2.52,0.42,0.43
199602,1.24,2.07,-2.24,0.39
199603,0.70,1.31,1.31,0.39
199604,2.09,4.91,-4.02,0.46
199605,2.26,3.24,-1.38,0.42
199606,-1.23,-3.66,1.97,0.40
199607,-5.83,-3.57,4.34,0.45
199608,2.84,2.28,-0.57,0.41
199609,4.86,-0.80,-3.78,0.44
199610,0.94,-4.10,4.82,0.42
199611,6.14,-3.56,0.21,0.41
199612,-1.60,3.13,0.94,0.46
199701,4.89,-1.51,-2.32,0.45
199702,-0.50,-2.57,4.73,0.39
199703,-4.91,-0.33,3.88,0.43
199704,3.80,-5.16,-1.04,0.43
199705,6.67,4.80,-4.33,0.49
199706,4.04,1.51,0.65,0.37
199707,7.22,-2.42,-0.38,0.43
199708,-4.04,7.49,1.06,0.41
199709,5.40,2.68,-0.26,0.44
199710,-3.87,-0.86,2.28,0.42
199711,2.66,-5.02,0.98,0.39
199712,1.30,-2.35,3.80,0.48
199801,0.02,-1.02,-1.80,0.43
199802,6.93,0.27,-0.74,0.39
199803,4.74,-1.18,1.66,0.39
199804,0.66,0.44,0.32,0.43
199805,-2.98,-3.59,4.26,0.40
199806,2.79,-3.26,-1.88,0.41
199807,-2.73,-4.95,-1.13,0.40
199808,-16.20,-5.71,5.13,0.43
199809,5.92,-0.17,-3.92,0.46
199810,7.12,-3.24,-2.72,0.32
199811,5.89,1.11,-3.42,0.31
199812,5.93,-0.28,-4.86,0.38
199901,3.48,0.67,-5.40,0.35
199902,-4.16,-5.74,1.76,0.35
199903,3.36,-3.86,-2.92,0.43
199904,4.53,3.29,2.46,0.37
199905,-2.41,3.71,2.69,0.34
199906,4.70,3.34,-4.16,0.40
199907,-3.44,2.24,0.54,0.38
199908,-1.39,-1.28,-0.92,0.39
199909,-2.67,3.25,-3.11,0.39
199910,5.81,-6.77,-3.23,0.39
199911,3.33,7.68,-7.97,0.36
199912,7.95,6.86,-9.12,0.44
200001,-4.39,4.39,0.22,0.41
200002,2.74,22.18,-12.80,0.43
200003,4.88,-16.70,8.02,0.47
200004,-6.41,-7.62,9.08,0.46
200005,-4.40,-4.91,3.77,0.50
200006,4.76,13.73,-10.05,0.40
200007,-2.19,-2.79,8.42,0.48
200008,7.14,-1.03,-1.32,0.50
200009,-5.62,-1.83,6.88,0.51
200010,-3.02,-3.70,4.91,0.56
200011,-10.76,-3.13,12.52,0.51
200012,1.53,1.52,6.22,0.50
200101,3.41,6.97,-5.68,0.54
200102,-10.32,-1.15,13.80,0.39
200103,-7.47,0.56,6.23,0.44
200104,8.00,0.31,-4.50,0.39
200105,0.74,3.00,2.82,0.32
200106,-2.03,6.49,-2.09,0.28
200107,-2.13,-4.25,5.58,0.30
200108,-6.22,2.14,3.40,0.31
200109,-9.43,-6.54,1.67,0.28
200110,2.58,6.86,-7.01,0.22
200111,7.70,0.40,0.81,0.17
200112,1.63,5.12,0.38,0.15
200201,-1.75,1.08,3.50,0.14
200202,-2.30,-1.69,3.96,0.13
200203,4.34,4.33,1.12,0.13
200204,-5.11,5.84,4.23,0.15
200205,-1.19,-3.73,2.52,0.14
200206,-7.15,3.56,1.50,0.13
200207,-8.26,-5.17,-3.61,0.15
200208,0.66,-2.25,2.13,0.14
200209,-10.14,2.70,1.17,0.14
200210,7.36,-2.98,-6.56,0.14
200211,6.01,3.17,-1.57,0.12
200212,-5.44,-0.53,3.82,0.11
200301,-2.44,1.39,-0.85,0.10
200302,-1.63,-0.33,-1.56,0.09
200303,0.93,0.82,-1.75,0.10
200304,8.18,1.16,0.01,0.10
200305,6.26,4.73,0.19,0.09
200306,1.53,1.49,0.56,0.10
200307,2.24,5.58,-2.08,0.07
200308,2.42,2.62,1.76,0.07
200309,-0.99,0.56,0.95,0.08
200310,5.96,2.91,1.79,0.07
200311,1.59,2.23,1.34,0.07
200312,4.47,-2.82,2.74,0.08
200401,2.24,2.64,1.61,0.07
200402,1.49,-1.18,0.37,0.06
200403,-1.16,1.84,0.03,0.09
200404,-2.50,-2.52,-1.73,0.08
200405,1.35,-0.18,-0.28,0.06
200406,2.08,2.28,1.68,0.08
200407,-3.87,-3.80,4.44,0.10
200408,0.16,-1.54,1.08,0.11
200409,1.95,2.84,0.34,0.11
200410,1.67,0.48,-0.94,0.11
200411,4.67,4.16,1.90,0.15
200412,3.36,0.17,-0.36,0.16
200501,-2.82,-1.64,2.50,0.16
200502,2.11,-0.72,2.81,0.16
200503,-1.90,-1.36,1.69,0.21
200504,-2.73,-3.98,-0.46,0.21
200505,3.55,3.04,-1.18,0.24
200506,0.92,2.58,2.84,0.23
200507,4.09,2.79,-0.50,0.24
200508,-0.89,-0.90,1.39,0.30
200509,0.77,-0.72,1.14,0.29
200510,-2.35,-1.02,-0.76,0.27
200511,3.73,1.03,-1.79,0.31
200512,0.03,-0.48,0.46,0.32
200601,3.66,5.29,1.09,0.35
200602,-0.50,-0.35,-0.79,0.34
200603,1.54,3.52,0.04,0.37
200604,0.94,-1.27,3.01,0.36
200605,-3.53,-3.02,2.71,0.43
200606,-0.44,-0.48,1.42,0.40
200607,-0.58,-3.93,3.30,0.40
200608,2.09,0.78,-1.71,0.42
200609,1.54,-1.22,-0.50,0.41
200610,3.30,1.69,0.48,0.41
200611,1.95,0.76,0.54,0.42
200612,0.68,-0.89,2.54,0.40
200701,1.50,0.05,0.00,0.44
200702,-1.78,1.37,0.28,0.38
200703,0.86,-0.22,0.29,0.43
200704,3.55,-2.14,-0.98,0.44
200705,3.48,-0.08,-0.11,0.41
200706,-1.88,0.70,-1.03,0.40
200707,-3.57,-2.64,-3.03,0.40
200708,0.74,-0.08,-2.42,0.42
200709,3.77,-2.52,-2.14,0.32
200710,2.26,0.15,-1.97,0.32
