FFDate,Mkt-RF,SMB,HML,RF
193303,3.36,4.90,6.98,0.04
193304,38.27,5.69,18.34,0.10
193305,21.15,39.04,15.19,0.04
193306,13.42,8.46,-2.72,0.02
193307,-9.63,-0.41,0.59,0.02
193308,12.10,-5.78,3.78,0.03
193309,-10.49,0.26,-13.44,0.02
193310,-8.33,0.40,-8.55,0.01
193311,9.97,-6.85,2.10,0.02
193312,1.98,0.67,-1.41,0.02
193401,12.93,11.17,16.42,0.05
193402,-2.35,5.09,2.51,0.02
193403,0.46,2.64,-3.63,0.02
193404,-1.80,3.35,-4.99,0.01
193405,-7.11,0.18,-7.12,0.01
193406,2.51,-2.38,-2.20,0.01
193407,-10.83,-6.42,-12.06,0.01
193408,5.95,4.59,1.86,0.01
193409,-0.30,-1.51,-0.33,0.01
193410,-1.94,1.26,-4.63,0.01
193411,8.40,7.56,-4.26,0.01
193412,0.38,2.94,-3.29,0.01
193501,-3.29,1.09,-2.22,0.01
193502,-1.88,0.50,-7.16,0.02
193503,-3.71,-3.77,-4.82,0.01
193504,8.91,-2.09,5.09,0.01
193505,3.47,-3.91,1.89,0.01
193506,5.52,-3.08,0.59,0.01
193507,7.35,2.97,4.99,0.01
193508,2.60,7.52,5.14,0.01
193509,2.58,0.59,-4.83,0.01
193510,7.12,2.30,-0.43,0.01
193511,5.17,5.66,10.53,0.02
193512,4.60,0.96,0.27,0.01
193601,6.60,6.43,10.09,0.01
193602,2.56,0.77,3.98,0.01
193603,0.92,1.10,-2.23,0.02
193604,-8.07,-6.81,-2.18,0.02
193605,5.01,0.81,2.69,0.02
193606,2.57,-3.20,-0.97,0.03
193607,6.45,1.12,1.34,0.01
193608,1.06,-0.09,3.84,0.02
193609,1.42,3.12,-0.32,0.01
193610,6.89,-2.19,1.60,0.02
193611,3.32,8.34,-1.01,0.01
193612,0.21,3.67,4.96,0.00
193701,3.24,4.21,3.22,0.01
193702,1.28,0.27,5.39,0.02
193703,-0.36,-2.16,7.05,0.01
193704,-7.45,-3.40,-4.91,0.03
193705,-0.92,-0.74,-3.17,0.06
193706,-4.19,-3.05,-3.56,0.03
193707,8.86,1.17,0.14,0.03
193708,-4.88,0.51,-1.99,0.02
193709,-13.58,-6.84,-4.66,0.04
193710,-9.49,0.52,-1.52,0.02
193711,-8.39,-3.24,0.22,0.02
193712,-4.01,-7.79,-0.88,0.00
193801,0.76,5.19,-2.22,0.00
193802,5.79,0.59,-1.99,0.00
193803,-23.70,-3.54,-4.38,-0.01
193804,14.55,6.57,-0.37,0.01
193805,-3.92,-2.37,-0.41,0.00
193806,23.61,3.53,2.10,0.00
193807,7.20,6.72,0.78,-0.01
193808,-2.72,-2.46,-4.26,0.00
193809,0.84,-2.53,-1.26,0.02
193810,7.77,6.62,3.99,0.01
193811,-1.77,-2.42,-0.76,-0.06
193812,4.06,-1.83,0.81,0.00
193901,-5.95,-1.44,-3.52,-0.01
193902,3.48,0.31,3.23,0.01
193903,-11.91,-5.41,-8.31,-0.01
193904,-0.23,1.97,0.29,0.00
193905,6.86,3.87,-0.08,0.01
193906,-5.29,-1.69,-5.54,0.01
193907,10.18,4.61,0.55,0.00
193908,-6.60,-4.50,-2.99,-0.01
193909,15.95,18.77,23.27,0.01
193910,-0.38,0.26,-4.66,0.00
193911,-3.68,-4.43,-6.54,0.00
193912,3.03,0.67,-3.84,0.00
194001,-2.40,0.21,-0.75,0.00
194002,1.37,2.32,-0.44,0.00
194003,1.89,1.63,-1.12,0.00
194004,0.12,3.57,-0.28,0.00
194005,-22.01,-6.21,-4.04,-0.02
194006,6.67,-2.34,4.80,0.00
194007,3.21,0.87,-0.57,0.01
194008,2.41,0.19,0.47,-0.01
194009,2.30,3.39,-1.70,0.00
194010,2.97,-0.15,5.40,0.00
194011,-1.64,2.07,0.48,0.00
194012,0.68,-2.41,-1.32,0.00
194101,-4.04,0.85,3.22,-0.01
194102,-1.47,-1.21,1.05,-0.01
194103,0.95,0.12,2.95,0.01
194104,-5.30,-1.69,3.43,-0.01
194105,1.39,-0.83,0.51,0.00
194106,5.87,1.47,0.66,0.00
194107,5.92,5.74,7.25,0.03
194108,-0.06,-0.16,-1.20,0.01
194109,-0.76,-1.43,0.28,0.01
194110,-5.18,-2.10,1.31,0.00
194111,-1.94,-1.05,-0.64,0.00
194112,-4.68,-3.34,-5.06,0.01
194201,0.70,7.51,9.93,0.02
194202,-2.42,1.69,-1.06,0.01
194203,-6.58,2.29,-1.22,0.01
194204,-4.32,-1.04,1.87,0.01
194205,6.08,-3.03,-2.97,0.03
194206,2.53,-0.91,0.25,0.02
194207,3.46,-0.33,2.56,0.03
194208,1.84,-0.39,1.94,0.03
194209,2.60,0.14,3.40,0.03
194210,6.74,1.39,6.68,0.03
194211,0.22,-0.77,-5.35,0.03
194212,5.01,-2.09,0.78,0.03
194301,7.30,8.34,7.66,0.03
194302,5.96,4.47,6.41,0.03
194303,6.18,4.66,5.52,0.03
194304,0.66,1.92,6.36,0.03
194305,5.69,4.20,3.13,0.03
194306,1.66,-0.63,-0.95,0.03
194307,-4.65,-2.68,-2.47,0.03
194308,1.23,-0.74,-0.88,0.03
194309,2.42,1.31,1.35,0.03
194310,-1.25,0.90,1.33,0.03
194311,-5.88,-1.58,-4.87,0.03
194312,6.33,3.29,3.13,0.03
194401,1.78,2.50,2.75,0.03
194402,0.34,-0.23,0.82,0.03
194403,2.42,1.86,3.02,0.02
194404,-1.66,-1.41,-0.97,0.03
194405,5.07,1.48,1.30,0.03
194406,5.59,4.11,2.53,0.03
194407,-1.55,0.73,-0.62,0.03
194408,1.56,2.12,-1.30,0.03
194409,0.00,0.58,-0.97,0.02
194410,0.22,-0.24,-0.24,0.03
194411,1.62,0.45,1.74,0.03
194412,4.10,1.61,6.63,0.02
194501,1.89,2.85,0.62,0.03
194502,6.41,1.54,4.33,0.02
194503,-3.89,-1.77,-1.63,0.02
194504,7.72,0.22,3.98,0.03
194505,1.83,1.32,1.15,0.03
194506,0.32,2.96,4.40,0.02
194507,-2.23,-1.69,-2.52,0.03
194508,6.08,1.49,-4.32,0.03
194509,4.78,1.94,0.26,0.03
194510,3.87,2.46,1.68,0.03
194511,5.43,3.82,4.43,0.02
194512,1.15,2.66,-2.09,0.03
