Month,VEU adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2007-apr,50.83, 3.9468, 3.5068,,3.55,-2.11,-0.96,0.44
2007-may,52.51, 3.3051, 2.8951,,3.48,-0.07,-0.08,0.41
2007-jun,52.87, 0.6856, 0.2856,,-1.87,0.65,-1.05,0.4
2007-jul,52.25,-1.1727,-1.5727,,-3.57,-2.71,-2.97,0.4
2007-aug,52.15,-0.1914,-0.6114,,0.75,-0.13,-2.35,0.42
2007-sep,55.36, 6.1553, 5.8353,,3.77,-2.47,-2.09,0.32
2007-oct,58.89, 6.3764, 6.0564,,2.26,0.08,-1.98,0.32
2007-nov,55.96,-4.9754,-5.3154,,-5.27,-2.74,-0.99,0.34
2007-dec,54.84,-2.0014,-2.2714,,-0.7,0.06,-0.07,0.27
