Month,DFFVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2007-dec,14.9,-3.9329,-4.2029,,-0.7,0.06,-0.07,0.27
2008-jan,14.19,-4.7651,-4.9751,,-6.44,-0.76,3.05,0.21
2008-feb,13.83,-2.5370,-2.6670,,-2.33,-0.54,0.0,0.13
2008-mar,13.92, 0.6508, 0.4808,,-1.21,0.85,0.19,0.17
2008-apr,14.38, 3.3046, 3.1346,,4.94,-1.53,0.07,0.17
2008-may,15.04, 4.5897, 4.4197,,2.22,2.87,-0.31,0.17
2008-jun,13.49,-10.3059,-10.4759,,-8.03,1.08,-1.05,0.17
2008-jul,13.84, 2.5945, 2.4445,,-1.47,3.71,3.61,0.15
2008-aug,14.46, 4.4798, 4.3598,,0.99,3.76,1.46,0.12
2008-sep,13.55,-6.2932,-6.4432,,-9.96,-0.24,4.48,0.15
2008-oct,10.61,-21.6974,-21.7774,,-18.54,-2.12,-3.13,0.08
2008-nov,9.23,-13.0066,-13.0266,,-8.55,-3.62,-4.93,0.02
2008-dec,9.83, 6.5005, 6.4105,,2.06,4.04,-1.28,0.09
2009-jan,8.48,-13.7335,-13.7335,,-7.75,-0.91,-9.93,0.0
2009-feb,7.36,-13.2075,-13.2175,,-10.12,-0.41,-6.73,0.01
2009-mar,8.17,11.0054,10.9954,,8.76,0.74,2.55,0.01
2009-apr,9.76,19.4614,19.4514,,11.04,5.14,5.74,0.01
2009-may,10.09, 3.3811, 3.3811,,6.73,-2.61,0.44,0.0
2009-jun,10.06,-0.2973,-0.2973,,-0.28,2.64,-2.48,0.0
2009-jul,11.26,11.9284,11.9184,,8.24,2.48,4.83,0.01
2009-aug,11.86, 5.3286, 5.3186,,3.18,-0.58,7.62,0.01
2009-sep,12.52, 5.5649, 5.5649,,4.52,2.36,1.5,0.0
2009-oct,11.62,-7.1885,-7.1885,,-2.84,-4.28,-4.38,0.0
2009-nov,12.01, 3.3563, 3.3563,,5.74,-2.83,0.12,0.0
2009-dec,12.96, 7.9101, 7.9101,,2.92,5.88,0.74,0.0
2010-jan,12.66,-2.3148,-2.3148,,-3.71,0.43,0.57,0.0
2010-feb,13.37, 5.6082, 5.6082,,3.54,1.41,2.75,0.0
2010-mar,14.48, 8.3022, 8.3022,,6.44,1.59,2.02,0.0
2010-apr,15.53, 7.2514, 7.2514,,2.02,5.0,3.14,0.0
2010-may,14.13,-9.0148,-9.0248,,-8.0,-0.03,-2.36,0.01
2010-jun,12.79,-9.4834,-9.4934,,-5.21,-2.05,-4.28,0.01
2010-jul,13.79, 7.8186, 7.8086,,7.24,-0.08,0.13,0.01
2010-aug,12.67,-8.1218,-8.1318,,-4.4,-2.92,-1.71,0.01
2010-sep,14.23,12.3125,12.3025,,9.24,3.97,-3.14,0.01
2010-oct,14.76, 3.7245, 3.7145,,3.89,0.91,-2.14,0.01
2010-nov,15.35, 3.9973, 3.9873,,0.58,3.71,-0.64,0.01
