
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007  -3.08  -2.24  -3.48  -1.71  -2.29  -1.92  -2.92  -2.62  -4.04  -4.89
198008   6.12   7.42   6.49   6.25   6.40   5.67   7.66   6.61   8.01   2.65
198009   4.79   4.39   4.90   5.25   5.07   6.83   4.62   4.59   6.30   5.47
198010   4.95   5.19   5.69   6.26   6.28   5.76   4.85   3.30   6.69   1.60
198011  -2.87  -2.01  -2.96  -2.76  -3.19  -2.49  -3.15  -1.84  -2.75  -4.45
198012   5.60   6.75   3.94   7.34   5.38   7.09   3.52   7.78   3.63   5.57
198101   1.34   3.04   0.00   1.58   0.84   1.55   0.93   2.08   1.50  -3.29
198102  -1.92  -0.83  -1.38  -0.98  -1.76  -3.73   0.61  -1.94   0.54  -7.69
198103   4.90   6.11   3.48   9.21   2.89   7.52   0.91   4.32   5.33   0.17
198104   5.59  10.98   1.45  13.74   1.29  11.70   3.12   6.09   4.42  -9.53
198105  -1.40   0.29  -1.27   1.64  -3.03  -1.60  -2.11  -0.43   0.35  -8.84
198106   3.36   6.30   1.12   5.61   1.68   7.30   1.05   3.25   0.87   1.42
198107  -5.12  -3.42  -7.46  -1.55  -6.89  -3.09  -7.74  -4.08  -6.06 -10.07
198108   2.59   1.59   2.60   1.88   2.36   2.79   2.01   6.26   0.07   8.66
198109 -10.81 -13.35  -9.98 -15.44  -6.79 -12.31 -10.36  -8.72 -11.77  -4.44
198110  -0.44   0.31   1.23  -0.64   0.63  -1.96  -0.22  -2.94   2.23  -1.42
198111  10.52   8.99   9.68   6.48  12.45   8.70  12.07  12.20  10.32  10.41
198112   0.75   0.24  -0.44   2.69   0.96   2.20  -0.49   0.17   1.42  -1.13
198201  -3.60  -3.73  -3.04  -3.76  -3.39  -4.59  -3.55  -4.89  -2.20  -4.47
198202  -7.22  -4.03  -7.94  -6.54  -7.01  -6.96  -8.27  -6.60  -8.29  -7.16
198203  -7.39  -7.38  -7.96  -8.08  -6.69  -6.34  -9.65  -4.77  -9.77   4.14
198204   7.68   8.99   7.91   8.41   7.45   6.38   8.30   5.81   9.06  -3.23
198205  -2.46  -2.40  -2.20  -2.92  -2.47  -3.88  -1.91  -4.46  -1.31  -6.37
198206  -6.69  -6.84  -6.17  -7.06  -6.43  -7.04  -5.05  -7.37  -6.53  -6.61
198207  -3.68  -2.68  -4.06  -3.75  -3.54  -3.57  -5.36  -3.10  -4.24   6.35
