
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007  -0.50  -0.27  -0.39  -0.71   0.76  -0.73   0.01   0.04  -0.88   1.38
198008   3.43   3.94   3.92   3.73   3.61   2.76   4.36   3.10   4.55  -5.17
198009   3.25   1.66   4.08   3.86   3.38   3.56   2.85   2.03   4.33   0.40
198010   4.29   2.70   5.83   6.31   5.18   4.89   4.29   1.71   6.40   1.30
198011  -2.28  -3.32  -1.83  -2.22  -2.30  -1.95  -2.18  -3.05  -2.58  -4.23
198012   0.69   2.19  -0.46   1.12   1.20   0.33   0.43   2.41  -0.13   0.45
198101  -1.35  -0.33  -1.95  -2.01  -0.69  -1.91  -1.81  -1.28  -1.07   6.96
198102  -1.28   0.92  -1.42  -1.12  -0.83  -1.01   0.24  -0.80  -0.21  -4.57
198103   3.84   5.35   2.15   5.67   3.27   5.22   1.95   3.69   3.96   1.83
198104   2.73   7.47  -0.33   6.90   0.22   6.00   1.28   4.89   1.52  -7.48
198105  -4.54  -3.83  -3.89  -2.27  -5.13  -4.26  -4.55  -4.60  -3.73  -8.06
198106   0.72   3.19  -1.28   1.45   0.21   1.23  -0.46   0.51  -0.80  -0.46
198107  -4.07  -3.85  -4.65  -1.68  -5.70  -3.04  -5.85  -4.20  -4.21  -7.60
198108   2.90   2.06   2.87   1.92   3.12   2.57   2.63   4.57   1.37   6.30
198109 -10.28 -11.16  -9.59 -12.57  -7.94 -11.02 -10.47  -7.90 -11.27  -4.71
198110   1.25   0.94   2.76   2.02   1.33   1.05   0.93  -0.47   2.77  -1.03
198111  11.31  10.97  10.50   8.91  12.25   9.39  12.05  11.90  11.16   9.13
198112  -1.10  -1.22  -1.70  -0.23  -0.58  -0.04  -1.47  -1.17  -0.47  -1.86
198201  -1.48  -0.41  -1.12  -2.42  -1.20  -1.91  -1.23  -2.53  -0.68  -1.85
198202  -6.12  -3.29  -6.59  -5.39  -6.05  -5.69  -7.05  -5.11  -6.69  -8.55
198203  -4.00  -4.99  -4.11  -5.69  -3.43  -2.83  -4.87  -3.34  -5.54   3.41
198204   5.14   5.07   5.21   6.21   5.06   5.07   5.39   4.48   6.10   1.72
198205  -1.02  -1.43  -0.29  -2.15  -0.65  -2.72   0.02  -2.89   0.22  -2.10
198206  -7.55  -8.29  -6.65  -8.17  -6.94  -9.15  -6.18  -8.45  -6.68 -10.38
198207  -1.01  -1.27  -0.68  -1.97  -0.52  -2.36  -1.19  -2.06  -0.78   3.38
198208  -0.58  -1.02  -0.60  -0.57  -0.61   0.28  -0.94  -0.68  -0.33   0.03
198209  -0.77  -2.16   0.83  -1.72   0.11  -2.94   1.65  -2.84   0.84  -7.28
198210  -0.19   1.03  -0.91   2.09  -1.26   2.31  -1.06   1.02  -0.47   3.46
198211   7.86   7.26   7.96   8.30   7.39   8.01   8.97   7.33   9.22   4.17
198212   8.26   8.70   6.98   9.93   6.92  10.10   6.73   9.31   7.51   8.85
198301  -0.50   2.27  -1.39  -1.19   0.22   1.23  -2.24   2.21  -2.16  14.47
198302   2.84   5.01   2.68   2.42   3.18   4.78   2.57   4.65   2.44   8.53
198303   2.85   2.50   1.34   4.27   2.12   2.50   2.98   2.51   2.85   1.30
198304   5.81   4.69   5.62   6.33   5.84   4.80   5.91   5.78   5.46   9.22
198305  -0.28  -0.14   0.79  -1.31   0.25  -1.05   1.54  -1.88   0.84  -1.36
198306   1.58   0.80   1.00   2.83   0.67   2.55   0.07   1.77   1.17  -0.55
198307   0.49  -0.01   1.12   0.32   0.75  -0.45   0.10  -1.44   1.49   0.58
198308  -1.56  -1.66  -1.73  -1.79  -1.52  -0.61  -0.52  -0.50  -2.37   0.74
198309   3.54   3.53   2.93   4.45   2.82   5.24   1.20   3.77   3.41   4.30
198310   0.30   1.22   0.33   0.46  -0.04   0.84  -0.24   0.07   0.23  -2.72
198311   1.64   2.46   1.89   1.11   0.90   1.20   1.18   0.88   1.96   0.56
198312   4.31   5.66   2.97   5.27   2.96   6.16   2.84   5.62   3.27   2.94
198401   4.84   5.29   2.97   6.57   1.56   5.98   2.12   6.41   1.54   6.73
198402   1.14   1.21   0.41   1.07   0.09  -0.10   0.23   1.96  -0.53  -1.80
198403   9.50   8.12   8.18   7.84   8.12   6.80   7.48   9.03   7.29   4.89
198404  -1.53  -2.20  -2.76  -0.87  -1.72  -2.06  -2.69  -0.61  -3.04  -1.60
198405 -10.38  -9.62 -11.32  -9.96 -10.57  -9.29  -9.92  -8.73 -11.59  -6.63
198406  -0.67  -1.18   0.41  -1.39   0.31  -1.80  -0.49  -1.80   0.00   0.79
198407  -6.48  -5.85  -6.89  -6.53  -6.03  -6.25  -6.14  -6.05  -6.09  -9.22
198408   8.99   7.11  10.62   9.11   9.86   9.85  10.90   6.54  11.55   7.08
198409  -0.76  -2.61   1.04  -1.20  -0.37  -1.24  -0.09  -2.17   0.16  -3.24
198410   2.11   2.62   1.59   2.09   2.34   0.14   1.92   1.90   0.80   1.83
198411   0.54   1.51  -1.06   0.78  -1.30  -0.50  -1.53   2.14  -2.94  -3.75
198412   2.08   5.91  -0.23   4.22  -0.26   4.59   0.13   5.50  -0.14  -0.42
198501   2.27   3.28   1.93   2.59   2.04   1.19   2.54   0.43   2.46   7.67
198502  -0.04  -2.16   1.74  -2.02   2.18  -1.73  -3.66  -2.69   1.41   2.60
198503   7.61   6.39   7.99   5.36   7.98   6.96   6.10   8.86   5.99  22.20
198504  -0.76   0.39  -1.39   0.42  -1.75  -0.60   0.03  -0.05  -1.31   2.45
198505   4.69   3.14   5.74   3.06   5.05   4.91   2.22   7.09   3.36   8.04
198506   2.24   2.89   2.17   2.44   2.53   2.58  -0.80   2.43   1.74   2.70
198507   5.83   6.81   6.30   4.15   6.22   5.75   5.31   8.08   4.50   3.38
198508   3.16   4.38   2.16   3.91   2.17   4.83   4.14   5.18   1.81   0.89
198509   5.69   6.58   3.54   7.97   3.70  10.09   4.91  12.33   2.86   5.11
198510   6.37   5.48   7.49   5.77   6.36   3.12   8.55   1.34   9.11   6.34
198511   4.33   4.40   4.65   3.74   3.92   3.65   4.45   2.88   4.62   1.62
198512   4.54   3.55   4.16   5.25   4.50   6.98   4.39   3.95   4.77   8.36
198601   2.66   4.32   1.84   4.39   2.06   3.59   4.80   3.15   2.78   6.29
198602  10.86   9.44  10.50   8.56  10.42   9.23   9.51  13.68   9.49  13.00
198603  13.66  11.17  14.77  10.72  14.45  11.90  13.45  12.72  13.64  12.24
