
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198704  15.82  11.16  18.03  10.90  15.05  11.82   6.95  12.35  17.21
198705  -0.78   5.55  -3.41   3.80  -0.75  -0.21   5.36  -0.85  -2.31
198706  -6.95   4.60 -10.75   3.20  -7.81   2.54  -5.78  -1.75 -10.36
198707  -1.93   2.91  -3.33   2.33  -3.55  -0.72   0.30  -2.54  -2.52
198708  11.40   6.37  13.34   7.52  10.96   7.00   8.45  12.71  12.45
198709  -2.79   7.41  -6.45   5.63  -5.46   7.16  -3.54   1.85  -5.62
198710 -11.56 -15.38 -10.52 -14.04  -9.50 -14.20 -12.74  -8.92 -11.88
198711   3.82   4.93   3.38   4.45   3.72   3.19   5.00   2.96   4.81
198712   1.85   6.92  -0.65   6.61   1.33   3.86   3.64   3.27   0.00
198801   4.40   1.57   4.79   4.74   2.74   1.11   1.08   2.61   4.48
198802   7.20   8.61   6.23  10.74   5.28   9.18   4.16  10.90   5.07
198803   7.13   9.57   6.53   8.78   6.48   8.93   5.50   7.58   6.34
198804   1.14   3.32   0.08   1.25   1.54   3.14   2.79   2.52   0.05
198805  -3.37  -2.71  -4.34  -4.62  -3.18  -3.84  -3.98  -0.87  -4.63
198806  -2.91   1.16  -5.12  -2.11  -4.21   0.48  -6.80   3.17  -4.24
198807   3.92  10.22   2.43   8.30   2.51  14.05   2.41   5.35   2.26
198808  -7.71 -10.23  -6.81 -10.10  -6.12 -11.81  -5.95  -8.99  -7.12
198809   2.72   2.94   0.68   2.01   0.58   3.14  -1.77   6.49  -0.18
198810   5.94   4.63   5.46   6.98   3.24   4.58  -1.49   9.56   4.48
198811   9.00   8.18   9.21   8.10   8.25   7.70   6.73   7.63  10.04
198812   0.35   3.40   0.35   3.72  -0.15   3.44  -2.50   1.66   0.43
198901   0.09   1.52  -1.14   1.16  -0.43   0.74   0.36   3.15  -2.00
198902   1.20   1.07   0.60   1.23   1.50  -1.39   2.25   2.48  -1.16
198903  -3.59  -1.32  -4.35  -3.77  -4.31  -7.14  -0.83  -4.58  -4.16
198904   0.31   2.15  -0.75   0.23   0.33   1.31  -0.18   2.61  -1.13
198905  -5.02  -1.11  -6.49  -1.90  -7.11  -0.42  -6.59  -3.58  -5.26
198906  -4.40  -3.11  -4.63  -3.73  -4.89  -4.72  -5.25  -4.60  -3.52
198907  12.85   9.54  13.70  11.11  14.30  11.26  13.43  11.71  13.82
198908  -6.48  -4.24  -7.35  -5.09  -8.36  -7.61  -7.57  -8.25  -6.23
198909   6.92   7.97   6.10   7.38   7.40   4.82   8.15   7.14   5.96
198910  -3.47  -3.11  -3.90  -2.49  -4.18  -2.70   0.14  -2.79  -5.04
198911   4.83   1.27   6.15   3.41   6.40   3.65   3.03   4.72   5.36
198912   1.04   1.25   0.57   0.28   0.71  -0.40  -0.02   0.11   2.11
199001  -5.46  -3.04  -6.89  -3.41  -7.07  -4.04  -6.31  -4.63  -6.66
199002  -9.42  -8.26  -9.36  -9.13  -9.12  -8.14  -8.54  -8.66  -9.44
199003 -17.23 -14.22 -20.06 -13.71 -18.82 -13.40 -21.74 -17.10 -16.27
199004  -0.62   0.14  -0.45  -0.48  -1.95  -0.10   1.38   2.17  -3.64
199005  14.33  12.19  15.93  12.37  16.84  10.94  17.59  13.66  15.60
199006  -3.85  -1.34  -5.33  -1.64  -4.97  -2.60  -4.48  -4.00  -3.58
199007   0.04   0.52   0.18   0.46  -0.05  -1.04   0.97  -0.14  -0.29
199008 -10.14 -11.00  -9.39 -10.03 -11.55  -9.73 -10.91 -10.13  -9.59
199009 -15.82 -14.11 -17.98 -14.86 -16.36 -14.14 -16.13 -15.93 -18.19
199010  23.11  18.72  23.32  18.90  27.78  22.63  26.30  21.93  21.44
199011 -11.31 -11.77 -12.18  -9.96 -15.16 -12.77 -14.64 -13.35 -10.48
199012   3.41   0.40   5.06   1.02   4.78   3.39   2.00   3.24   4.47
199101   3.21   2.10   3.46   2.56   1.48   2.90   2.12   2.24   4.13
199102  11.47  15.80   8.55  15.30  11.63  11.91  15.18  15.50   6.94
199103  -4.56  -5.23  -4.42  -5.55  -4.44  -6.03  -6.26  -6.42  -2.63
199104   2.64   2.19   2.50   2.45   0.93   0.42   1.61   1.90   3.15
199105  -1.26  -1.88  -1.52  -2.24  -2.31  -2.56  -2.49  -0.98  -1.45
199106  -6.68  -6.26  -7.32  -6.23  -7.40  -4.38  -6.93  -6.32  -6.69
199107   3.38   4.71   2.25   4.37   2.27   3.43   2.92   4.11   2.43
199108  -5.12  -6.94  -4.39  -6.41  -5.47  -5.28  -8.12  -5.75  -4.53
199109   7.50   8.34   6.27   7.97   7.31   5.34  12.86   8.89   5.06
199110   4.71   2.61   6.73   3.01   5.40   2.16   4.17   2.01   7.60
199111  -6.41  -7.47  -6.77  -7.40  -5.41  -5.18  -8.98  -6.87  -6.02
199112   2.99   4.09   2.81   3.69   3.04   3.85   4.05   4.38   2.10
199201  -4.93  -1.23  -7.17  -1.05  -7.04  -2.32  -3.79  -2.80  -7.00
199202  -6.42  -6.14  -7.27  -5.51  -8.13  -4.42  -4.38  -5.75  -8.06
199203  -9.64  -8.65 -10.90  -7.55 -11.27  -7.76  -9.39  -8.59 -11.21
199204  -5.15   1.10  -8.96   0.95  -9.51   1.58  -4.58  -1.01  -9.50
199205   7.99   6.83   9.24   6.87   8.92   5.52   8.65   7.37   9.09
199206  -7.76  -6.26  -9.22  -6.08  -9.58  -4.71  -7.55  -6.32  -9.00
199207  -1.30  -3.68   0.97  -4.22   1.62  -2.39  -4.85  -2.77   1.36
199208  13.91   9.37  18.44   9.55  18.91   7.15  13.82  10.71  18.99
199209  -3.01  -2.60  -3.82  -3.64  -3.49  -3.74  -3.34  -2.24  -3.91
199210  -3.86  -2.83  -3.50  -2.70  -4.19  -3.27  -4.45  -4.20  -2.92
199211   2.19   1.97   3.51   1.78   3.40   0.78   2.76   1.41   3.67
199212  -0.90  -0.54  -0.98  -0.51  -1.71   0.98  -2.29  -0.81  -0.89
199301   0.06  -0.47   0.00  -0.08   0.37   0.52   0.14   0.31  -0.26
199302   4.71   3.54   4.59   3.72   4.65   5.41   3.45   4.65   4.74
199303  13.82  17.60   9.98  14.00  10.37  21.51  10.93  16.60   8.21
199304  15.42  18.22  12.61  15.84  13.80  15.79  12.73  17.59  12.69
199305   3.63   2.04   5.98   2.02   5.73   0.22   2.17   2.22   6.71
199306  -3.19  -5.02  -1.10  -4.81  -1.52  -5.89  -3.80  -4.35  -0.49
199307   7.14   7.72   7.63   6.03   7.49   7.72   6.42   6.31   8.31
199308   2.93   3.77   2.47   3.05   2.70   2.48   3.33   2.25   2.24
199309  -4.98  -4.41  -4.86  -2.42  -6.01  -5.86  -0.78  -5.30  -4.26
199310   1.45   1.84   1.67   0.94   2.77   3.03  -1.45   1.26   1.95
199311 -13.92 -13.55 -15.47 -10.63 -16.52 -11.32 -12.70 -11.65 -15.76
199312   5.86   8.61   4.38   6.44   5.51   7.68   3.41   5.16   6.00
199401  12.30  14.33  11.39  11.23  13.55  13.68  11.10  10.94  12.99
199402   2.14   3.93   1.40   2.38   2.41   3.30   1.91   2.66   2.15
199403  -4.50  -3.92  -5.69  -4.01  -5.82  -4.05  -2.93  -3.07  -5.47
199404   3.75   3.36   3.82   2.65   4.18   2.22   3.16   4.33   3.24
