
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198102  -3.10   0.35  -4.19  -4.46  -3.02  -3.21  -2.21  -1.91  -3.48
198103   2.73   4.96   0.59  -3.02   5.54  -1.25   5.97   2.42   3.72
198104   3.48  11.58  -0.31   2.42   1.21   4.97   2.17  11.36   1.03
198105  -8.06  -9.30  -5.87  -4.93  -8.38  -6.37  -8.01  -9.59  -7.61
198106  -4.60  -3.16  -7.10  -9.31  -2.33 -13.81  -2.99  -6.17  -3.22
198107  -3.87  -5.73  -2.04  -1.77  -4.33  -1.57  -5.16  -4.04  -3.31
198108   4.58   4.92   4.03   0.61   7.11   2.15   6.77   2.66   4.94
198109 -17.88 -14.29 -17.98 -15.91 -18.78 -16.85 -19.50 -13.59 -19.26
198110   5.76   2.06   8.53  10.85   3.46  11.00   3.06   2.58   5.65
198111  19.06  21.43  18.02  18.24  20.24  18.74  20.45  16.86  19.99
198112  -3.51  -2.21  -3.15  -4.45  -2.11  -4.76  -1.65  -2.86  -2.84
198201   3.49   6.74   5.07  -1.14   5.35   0.27   5.56   1.49   4.10
198202  -8.33  -5.21  -8.41  -6.82  -8.61  -8.69  -8.94  -7.63  -9.44
198203   1.88  -2.31   3.79  -2.78   2.08   4.53   3.62  -2.32   2.95
198204   1.79  -1.86   2.08   3.27   2.41   6.37   2.94   2.67   2.78
198205   4.32   3.90   6.19   2.28   5.55   2.42   6.91   1.83   6.48
198206  -6.85  -7.22  -4.74  -9.13  -5.11 -10.42  -4.77  -8.81  -4.87
198207   3.84   0.99   6.38   1.37   5.53  -1.75   6.96  -0.16   6.40
198208   1.68  -2.16   1.50   2.35   0.86   7.10   1.49   3.29   1.19
198209   4.45  -2.39  11.04  -0.29   9.15  -4.82  11.65  -1.28  10.43
198210   1.16   5.60  -2.25   7.24  -1.98   8.96  -3.58   8.86  -3.62
198211  -2.29  -3.20  -0.65  -4.75  -1.17  -7.59  -0.76  -5.36  -0.59
198212   2.14  -0.07   1.04   2.62   0.69   0.36   0.21   1.69   0.72
198301  -1.89   3.84  -6.50   1.20  -5.29  -0.89  -7.44   3.72  -7.24
198302   0.42   2.62   1.72  -1.27   1.16   0.39   1.94  -0.43   1.99
198303   0.84   2.73  -2.10   5.52  -0.57   6.84  -1.59   4.31  -1.17
198304  14.28  14.80  13.61  15.17  14.50  18.41  14.04  18.89  13.43
198305   3.27   6.44   4.33   3.49   4.69   3.68   4.60   3.35   4.45
198306   0.31   0.84  -2.79   5.22  -3.33   6.44  -3.87   4.81  -3.54
198307  -3.20  -3.60  -2.88  -4.87  -3.44  -4.26  -3.23  -6.47  -3.24
198308  -0.63  -1.88  -2.74   0.95  -2.53   2.53  -3.90   1.55  -3.54
198309  -0.43   0.21  -0.99  -0.07  -0.91   0.24  -0.74   0.52  -0.64
198310  -1.81  -2.19  -1.77  -3.84  -0.89  -2.64  -2.23  -3.07  -1.95
198311   3.90   9.09   3.61   3.53   4.39   2.62   3.17   3.81   3.43
198312   0.76   2.90  -0.89   2.67  -1.05   0.96  -1.54   0.42  -1.46
198401   3.51   5.95  -0.32   8.47   0.06   7.99  -0.37   7.45  -0.58
198402   4.57   6.04   5.23   4.31   5.18   4.59   6.05   4.10   5.64
198403   3.66   1.51   5.47   1.08   5.94   3.43   5.67   3.01   6.97
198404  -0.55  -2.46  -1.50   1.62  -1.42   1.62  -1.42   0.95  -2.57
198405 -10.85 -11.75 -11.92  -8.95 -11.65  -8.46 -10.94 -11.13 -12.11
198406   0.04   2.26   1.23  -1.67   0.42  -2.94   1.85  -0.96   1.56
198407  -5.87  -3.01  -5.17  -7.41  -3.54  -8.35  -5.23  -4.74  -5.96
198408  10.18   6.39  11.29  10.66   8.87  13.29  11.46   8.23  10.56
198409  -1.96  -2.14  -2.54   0.10  -4.07  -0.39  -1.31  -0.87  -2.46
