
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198102  -0.82   2.35  -1.55  -1.69   0.13   1.51  -0.30   0.00  -0.72
198103   2.66   4.50   0.59   1.71   3.67   2.61   3.01   2.95   2.74
198104  -0.24   3.85  -2.17  -0.30  -0.83  -0.11  -0.61   3.85  -1.93
198105  -8.48  -8.87  -7.18  -7.02  -7.90  -7.59  -7.76  -9.75  -8.90
198106  -2.95  -1.23  -4.69  -4.38  -1.86  -7.16  -2.60  -3.41  -3.38
198107  -2.91  -4.89  -1.06  -2.20  -4.31  -3.37  -3.39  -4.63  -1.56
198108   3.39   2.76   3.25   2.10   4.23   2.38   3.58   2.30   3.12
198109  -9.51  -8.19  -9.03  -8.66  -9.42  -9.19 -10.58  -6.71 -10.87
198110   3.15   1.42   4.49   5.42   1.73   4.78   2.09   2.42   2.84
198111  12.44  13.59  11.67  12.16  12.19  10.30  12.14  11.56  12.50
198112  -3.28  -2.90  -3.20  -3.77  -2.39  -2.71  -2.64  -2.71  -2.58
198201   1.31   3.75   1.52  -0.99   1.72   1.51   1.84   0.36   1.92
198202  -4.81  -2.36  -4.96  -4.01  -4.95  -4.22  -5.68  -3.38  -4.56
198203   0.20  -1.96   0.73  -2.77   0.54   1.54   0.80  -1.48  -0.03
198204   2.58   1.09   2.39   4.10   2.67   3.92   2.48   3.27   2.65
198205   0.57  -0.33   1.83  -1.31   1.34  -1.30   2.28  -1.15   1.73
198206  -8.63  -9.92  -7.24  -9.60  -7.60 -11.69  -7.64  -9.86  -7.27
198207   1.83   0.26   3.06  -0.12   2.61  -1.20   3.26  -1.08   2.95
198208   0.76  -1.52   0.81   0.42   0.96   2.22   0.90   1.18   0.55
198209   1.98  -1.60   5.59  -0.33   4.32  -2.07   5.76  -1.04   4.81
198210   1.11   3.49  -0.29   4.89  -0.34   6.14  -1.52   5.48  -1.36
198211   1.38   1.23   2.38   0.39   1.87  -1.60   1.92   0.20   3.59
198212   5.39   4.12   3.89   5.68   4.36   5.06   4.36   5.21   4.30
198301  -0.43   4.24  -2.94   0.81  -1.24   2.11  -3.55   2.78  -2.43
198302   3.11   5.06   3.37   2.70   3.38   4.32   3.40   2.87   3.92
198303   4.51   5.71   2.36   6.57   3.74   7.02   2.22   6.22   3.54
198304   7.75   7.17   7.14   8.18   7.32   7.65   7.84   9.12   6.71
198305  -0.64   1.22   0.03  -1.10   0.49   0.48   0.63  -0.65  -0.01
198306   1.68   1.96   0.13   3.82  -0.12   3.60  -0.11   3.11  -0.07
198307  -1.63  -1.55  -1.59  -2.03  -2.34  -1.50  -2.31  -3.23  -1.22
198308  -2.34  -3.00  -3.49  -1.61  -4.03  -0.80  -3.83  -1.10  -3.87
198309   1.71   2.21   2.28   2.16   1.72   2.23   1.10   1.87   2.32
